#This file is auto-generated from the (amazing) LOV service
# if you don't want to load this use the available CLI / code options 
# To override some of it's entries use the schemaDecl.csv
SAN,http://www.irit.fr/recherches/MELODI/ontologies/SAN#,https://www.irit.fr/recherches/MELODI/ontologies/SAN.owl
a-loc,https://w3id.org/arco/ontology/location/,https://w3id.org/arco/ontology/location/
acco,http://purl.org/acco/ns#,http://ontologies.sti-innsbruck.at/acco/ns.owl
acl,http://www.w3.org/ns/auth/acl#,https://www.w3.org/ns/auth/acl.ttl
acm,http://acm.rkbexplorer.com/ontologies/acm#,http://www.rkbexplorer.com/ontologies/acm
acrt,http://privatealpha.com/ontology/certification/1#,https://privatealpha.com/ontology/certification/1.n3
adms,http://www.w3.org/ns/adms#,https://www.w3.org/ns/adms.ttl
af,http://purl.org/ontology/af/,http://motools.sourceforge.net/doc/audio_features.rdf
agls,http://www.agls.gov.au/agls/terms/,http://www.agls.gov.au/schemas/rdfs/2010/06/30/aglsterms.rdf
agr,http://promsns.org/def/agr#,https://promsns.org/def/agr/agr.ttl
agrelon,http://d-nb.info/standards/elementset/agrelon#,https://d-nb.info/standards/elementset/agrelon.rdf
aiiso,http://purl.org/vocab/aiiso/schema#,http://purl.org/vocab/aiiso/schema#
airs,https://raw.githubusercontent.com/airs-linked-data/lov/latest/src/airs_vocabulary.ttl#,https://raw.githubusercontent.com/airs-linked-data/lov/latest/src/airs_vocabulary.ttl#
akt,http://www.aktors.org/ontology/portal#,http://www.aktors.org/ontology/portal#
akts,http://www.aktors.org/ontology/support#,http://www.aktors.org/ontology/support#
algo,http://securitytoolbox.appspot.com/securityAlgorithms#,http://securitytoolbox.appspot.com/securityAlgorithms#
am,http://open-services.net/ns/asset#,https://open-services.net/ns/asset
aml,https://w3id.org/i40/aml#,http://i40.semantic-interoperability.org/automationml/aml.owl
amlo-core,http://w3id.org/amlo/core#,https://gitlab.com/mopso/amlo/raw/master/core/core.rdf
ao,http://purl.org/ontology/ao/core#,http://smiy.sourceforge.net/ao/rdf/associationontology.owl
aos,http://rdf.muninn-project.org/ontologies/appearances#,http://rdf.muninn-project.org/ontologies/appearances.owl
api,http://purl.org/linked-data/api/vocab#,https://raw.githubusercontent.com/UKGovLD/linked-data-api/master/vocab/api.ttl
apps4X,http://semweb.mmlab.be/ns/apps4X#,http://semweb.mmlab.be/ns/apps4X
arch,http://purl.org/archival/vocab/arch#,http://purl.org/archival/vocab/arch#
arco,https://w3id.org/arco/ontology/core/,https://w3id.org/arco/ontology/core/
